R true;R pred;Fi true;Fi pred;Hit
391.37168621366123;412.37564;0.5363747024192178;0.5400007;1
382.8101272686617;377.48337;0.5497243583741317;0.54915464;1
374.31990370426934;381.2943;0.5636821836767092;0.5631501;1
365.9059812013162;370.26877;0.5782848782400387;0.57986027;1
357.5737460281759;378.27805;0.5935715090597888;0.5978866;1
349.3290434795637;347.51974;0.6095836068852916;0.6141389;1
341.17821939284374;348.7775;0.6263652463859739;0.62886745;1
333.12816476214664;342.84735;0.643963102444645;0.6468534;1
325.1863633787869;325.13513;0.6624264733128585;0.66213113;1
317.36094229952886;328.09244;0.6818072591136313;0.6833157;1
309.660724773048;300.74808;0.7021598815526893;0.7038369;1
302.0952850289026;298.8151;0.7235411277042155;0.72554094;1
294.675004040754;296.6498;0.7460098974133018;0.74691105;1
287.4111250041356;305.93997;0.7696268303086654;0.7722881;1
280.31580680701427;288.67203;0.7944537848391562;0.7954175;1
273.4021732093435;281.6155;0.820553138455138;0.82760155;1
266.68435478167135;273.57086;0.8479868755368042;0.8570114;1
260.17751988794276;260.99814;0.8768154286210955;0.8822773;1
253.8978901542219;250.89897;0.9070962398368233;0.9124685;1
247.8627349854952;278.83817;0.9388820144198251;0.93891585;1
242.0903388493938;237.61282;0.9722186481640177;0.9741454;1
236.599934348974;238.62053;1.0071428271951262;1.0052701;1
231.41159371056432;234.60728;1.0436793229344627;1.0399392;1
226.5460714145972;212.70647;1.0818380384512767;1.097887;1
222.02459152785815;207.01636;1.1216109044440195;1.1306823;1
217.86857509250103;201.11824;1.1629687720029827;1.1718826;1
214.0993058899567;218.65903;1.2058585008915734;1.2139226;1
210.7375371220935;212.43684;1.2502004893595162;1.2597268;1
207.80304695073707;200.9221;1.29588692483178;1.3016795;1
205.3141570660307;238.06316;1.342781042937465;1.3625338;1
203.2872348709068;213.47282;1.3907176544985929;1.3890896;1
201.73620555364798;220.60164;1.4395051291556948;1.4463434;1
200.6721041921577;227.28531;1.4889289101795793;1.4927545;1
200.10269905884002;193.04434;1.538756487242913;1.5540841;1
200.03221475641664;207.50133;1.5887435920137805;1.5964248;1
200.46117756334186;192.22699;1.6386412320680637;1.6253786;1
201.3863959650854;221.95314;1.6882030698218562;1.6863359;1
202.80107802852194;214.60338;1.737192606995169;1.7265759;1
204.69507570836956;206.11205;1.785389661251861;1.7826432;1
207.05523608201662;208.11195;1.8325957145940461;1.8400695;1
209.86583228030267;237.68527;1.8786378537291695;1.8768575;1
213.1090432816698;210.27974;1.923371183889632;1.9201443;1
216.76545180944564;240.13612;1.9666797517139234;1.9688311;1
220.81453273704065;209.06984;2.0084761378307903;2.012698;1
225.23510969118934;230.30934;2.0486999632839673;2.0564504;1
230.00576385674898;226.88158;2.0873155934555254;2.09111;1
235.1051853470082;232.97444;2.1243093241723754;2.1228695;1
240.51246318387652;238.7507;2.159686307292277;2.1565516;1
246.2073145064948;244.13576;2.1934674286485256;2.1882372;1
252.17025694205998;252.23828;2.2256863000323968;2.2168171;1
258.3827301813127;259.2726;2.2563864766856927;2.2575564;1
264.8271738807661;264.79605;2.2856189675192877;2.2944307;1
271.48706929685994;270.3654;2.313440069410868;2.3142612;1
278.3469517798291;255.67989;2.3399095300158206;2.3391535;1
285.3924006256071;330.6934;2.3650890248809815;2.357487;1
292.610011969125;286.62692;2.3890409229750458;2.3928413;1
299.9873595241906;299.08664;2.411827308522014;2.4104252;1
307.5129471160856;326.93677;2.4335092247814454;2.4367828;1
315.17615616309706;341.80856;2.4541461058967595;2.4477818;1
322.96719056812793;301.03745;2.473795365118074;2.4793134;1
330.87702089023037;336.5745;2.492512110837859;2.488814;1
338.8973291764313;321.48004;2.5103489654153286;2.5136034;1
347.0204554383544;343.54178;2.527355965347279;2.5279174;1
355.2393464445731;354.9656;2.5435805247440726;2.54322;1
363.5475072560557;367.56683;2.5590674471638133;2.5508096;1
371.93895574652623;371.9736;2.573858973588217;2.5693054;1
380.4081802111265;385.53952;2.5879948566778497;2.589323;1
388.95010006588944;397.28613;2.6015124534374445;2.6019325;1
591.3608840247947;598.9051;0.5320539502819016;0.53369826;1
582.7652960748208;576.20105;0.5407591845718833;0.5430754;1
574.2151909029925;599.22345;0.5497243583741317;0.5512922;1
565.7126307749784;570.2023;0.558959783153594;0.560939;1
557.2597919937645;563.8724;0.568476216846536;0.5710107;1
548.8589718019743;557.67944;0.5782848782400387;0.5790946;1
540.5125956738725;554.18713;0.5883974605688773;0.59137034;1
532.2232250068516;543.4435;0.5988261440330193;0.601438;1
523.9935652193457;534.0886;0.6095836068852916;0.61219823;1
515.8264742584151;511.32333;0.6206830346775576;0.6229885;1
507.72497151553824;504.4659;0.6321381271843471;0.63285977;1
499.69224714321996;498.8464;0.643963102444645;0.647396;1
491.73167175770527;489.52792;0.6561726972749249;0.65682113;1
483.84680650409825;476.46677;0.6687821635090917;0.66984886;1
476.0414134492934;482.81955;0.6818072591136312;0.68236315;1
468.31946625502104;470.0668;0.6952642332091201;0.69836617;1
460.685161067702;453.29285;0.7091698039029755;0.7105397;1
453.14292754335384;441.57288;0.7235411277042157;0.72593933;1
445.6974399041888;447.42288;0.7383957591511936;0.74146825;1
438.35362789845226;434.15134;0.7537515991409576;0.7530612;1
431.11668750620345;431.91568;0.7696268303086654;0.7688535;1
423.9920912008952;428.4137;0.7860398376735596;0.78588456;1
416.98559753964514;414.72083;0.8030091126526613;0.80485755;1
410.10325981401525;408.02963;0.820553138455138;0.8224085;1
403.3514334481389;404.78372;0.8386902548225565;0.8432296;1
